video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/-037gp1St94-Scene-0012.mp4,"In the video, a man is seen standing in a kitchen, holding a plastic bag with an egg inside it. He is wearing a black t-shirt and has curly hair. The kitchen has a stainless steel refrigerator and a pot on the stove. The man is talking to the camera and demonstrating how to cook the egg by dipping the plastic bag into the pot of boiling water. He then shows the egg in the bag to the camera, indicating that it is cooked. The video is shot in a well-lit kitchen, and the man's actions are clear and easy to follow.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-037gp1St94-Scene-0012/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-037gp1St94-Scene-0012/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-037gp1St94-Scene-0012.mp4,"In the video, a man is seen standing in a kitchen, holding a plastic bag with an egg inside it. He is wearing a black t-shirt and has curly hair. The kitchen has a stainless steel refrigerator and a pot on the stove. The man is talking to the camera and demonstrating how to cook the egg by dipping the plastic bag into the pot of boiling water. He then shows the egg in the bag to the camera, indicating that it is cooked. The video is shot in a well-lit kitchen, and the man's actions are clear and easy to follow.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-037gp1St94-Scene-0012/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-037gp1St94-Scene-0012/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-GQaR5Zaa2s-Scene-0039.mp4,"The video shows a close-up of a red French press coffee maker with a clear glass body and a red plastic handle and lid. The coffee maker is placed on a white countertop, and a hand is seen pressing down on the plunger, which is located at the bottom of the French press. The video is shot from a side angle, and the focus is on the plunger and the glass body of the French press.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-GQaR5Zaa2s-Scene-0039/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-GQaR5Zaa2s-Scene-0039/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-U1_ibvMUW4-Scene-0106.mp4,The video shows a man in a black wetsuit surfing on a wave. He is seen riding the wave and then falling off the surfboard into the water. The man is then seen swimming in the water.,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-U1_ibvMUW4-Scene-0106/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-U1_ibvMUW4-Scene-0106/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-cC4tDWzbJI-Scene-0065.mp4,"In the video, a man is seen working on a wooden table. He is using a hammer to nail the table together. The man is wearing a gray sweatshirt and blue jeans. The table is made of light-colored wood and is placed on a black stand. The background shows a cluttered workshop with various tools and equipment scattered around. The man appears to be focused on his task, carefully hammering each nail into place.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-cC4tDWzbJI-Scene-0065/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-cC4tDWzbJI-Scene-0065/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-ewrdhXWWTw-Scene-0089.mp4,The video shows a woman in a black dress sitting in the passenger seat of a car. She is seen putting on a seat belt and then bending over to put something in the trunk of the car. The woman then gets out of the car and closes the trunk.,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-ewrdhXWWTw-Scene-0089/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-ewrdhXWWTw-Scene-0089/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-hl1yl_waTA-Scene-0070.mp4,"The video shows a first-person view of a player holding a sniper rifle with a scope. The player is moving through a dark, industrial-looking environment with concrete walls and metal structures. The player aims down the scope at a distant target, which is a helicopter. The player shoots and successfully hits the helicopter, causing it to explode and crash. The video is fast-paced and action-packed, with the player's movements and the explosion being the main focus.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-hl1yl_waTA-Scene-0070/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-hl1yl_waTA-Scene-0070/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-hl1yl_waTA-Scene-0070.mp4,"The video shows a first-person view of a player holding a sniper rifle with a scope. The player is moving through a dark, industrial-looking environment with concrete walls and metal structures. The player aims down the scope at a distant target, which is a helicopter. The player shoots and successfully hits the helicopter, causing it to explode and crash. The video is fast-paced and action-packed, with the player's movements and the explosion being the main focus.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-hl1yl_waTA-Scene-0070/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-hl1yl_waTA-Scene-0070/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-o0r26R1jJQ-Scene-0016.mp4,"The video shows a blue sports car driving on a grassy hill. The car is seen driving up and down the hill, and at one point, it crashes into a tree. The car has a sleek design with a black stripe on the hood and a black rear wing. The surrounding area is lush with green trees and grass.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-o0r26R1jJQ-Scene-0016/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-o0r26R1jJQ-Scene-0016/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-o0r26R1jJQ-Scene-0016.mp4,"The video shows a blue sports car driving on a grassy hill. The car is seen driving up and down the hill, and at one point, it crashes into a tree. The car has a sleek design with a black stripe on the hood and a black rear wing. The surrounding area is lush with green trees and grass.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-o0r26R1jJQ-Scene-0016/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-o0r26R1jJQ-Scene-0016/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-zUPmmmskDU-Scene-0093.mp4,"In the video, a person is seen using a hammer to hit a wooden block. The person is wearing gloves and is standing in front of a pile of wooden blocks. The wooden blocks are arranged in a row, and the person is hitting them one by one. The background shows a busy street with cars and buildings. The person's movements are deliberate and precise as they hit each block. The sound of the hammer hitting the wood is audible, and the person's breathing can be heard as they work. The video is shot in a vertical orientation, and the focus is on the person's hands and the wooden blocks.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-zUPmmmskDU-Scene-0093/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/-zUPmmmskDU-Scene-0093/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/00iSLFCQ87M-Scene-0058.mp4,"In the video, a young boy is seen sitting on the floor in a living room. He is surrounded by toys and appears to be watching television. The boy then stands up and walks over to a pile of toys on the floor. He picks up a toy and throws it across the room. The boy then walks back to the camera and picks up another toy. He throws the second toy across the room as well. The boy seems to be enjoying himself as he continues to play with the toys. The living room is well-lit and appears to be a comfortable space for the boy to play in.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/00iSLFCQ87M-Scene-0058/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/00iSLFCQ87M-Scene-0058/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/04e1sLWk2ok-Scene-0110.mp4,"The video shows a close-up of a person's hands as they work on a wooden object. The person places a small white block on the object and then uses a hammer to hit it. The hammer is brown and appears to be made of wood. The person's hands are steady as they guide the hammer to hit the block. The wooden object has a curved shape and is light brown in color. There is a red substance on the object, possibly glue or paint. The background is blurred, but it seems to be a workshop or crafting area.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/04e1sLWk2ok-Scene-0110/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/04e1sLWk2ok-Scene-0110/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0EazhvrVej8-Scene-0023.mp4,"The video shows a first-person view of a person driving a race car on a track. The car is blue and black, and the driver is wearing a black glove. The track has a green field on one side and a white fence on the other. The driver is seen turning the car, and the speedometer is visible, showing the speed of the car. The driver's hands are on the steering wheel, and the car is moving at a high speed.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/0EazhvrVej8-Scene-0023/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/0EazhvrVej8-Scene-0023/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/0SX6a9YP4gQ-Scene-0041.mp4,"In the video, a person is seen cutting a large cake with a knife. The cake is placed on a table, and the person is wearing a white chef's uniform. The cake is golden brown in color and appears to be a sponge cake. The person cuts the cake into equal-sized pieces, and the knife is seen moving back and forth as they slice through the cake. The person's movements are precise and careful, ensuring that each piece is evenly cut. The background is blurred, but it appears to be a kitchen or bakery setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/0SX6a9YP4gQ-Scene-0041/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/0SX6a9YP4gQ-Scene-0041/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/0SX6a9YP4gQ-Scene-0041.mp4,"In the video, a person is seen cutting a large cake with a knife. The cake is placed on a table, and the person is wearing a white chef's uniform. The cake is golden brown in color and appears to be a sponge cake. The person cuts the cake into equal-sized pieces, and the knife is seen moving back and forth as they slice through the cake. The person's movements are precise and careful, ensuring that each piece is evenly cut. The background is blurred, but it appears to be a kitchen or bakery setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/0SX6a9YP4gQ-Scene-0041/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_6/0SX6a9YP4gQ-Scene-0041/aug_entity_40.png
