video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/--Jb31m2Sg0-Scene-0028.mp4,"In the video, a young man is seen standing in a living room. He is wearing a white sweatshirt with the word ""DOBRE"" written on it and black shorts. The room has a large window with a view of trees outside, and there is a beige bean bag chair and a black speaker visible in the background. The man is holding a small green ball in his hand and appears to be preparing to throw it. He then turns around and throws the ball towards the camera, and the video ends.",T2V_data/label/part_2/--Jb31m2Sg0-Scene-0028/depth.mp4,T2V_data/label/part_2/--Jb31m2Sg0-Scene-0028/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/--Jb31m2Sg0-Scene-0028.mp4,"In the video, a young man is seen standing in a living room. He is wearing a white sweatshirt with the word ""DOBRE"" written on it and black shorts. The room has a large window with a view of trees outside, and there is a beige bean bag chair and a black speaker visible in the background. The man is holding a small green ball in his hand and appears to be preparing to throw it. He then turns around and throws the ball towards the camera, and the video ends.",T2V_data/label/part_2/--Jb31m2Sg0-Scene-0028/depth.mp4,T2V_data/label/part_2/--Jb31m2Sg0-Scene-0028/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/--LlUbEKy8w-Scene-0036.mp4,The video shows a man cleaning the inside of a car window with a spray bottle and a cloth. The man is wearing a black tank top and has curly hair. He sprays the window with the bottle and then wipes it with the cloth. The car appears to be parked in a garage or a carport.,T2V_data/label/part_2/--LlUbEKy8w-Scene-0036/depth.mp4,T2V_data/label/part_2/--LlUbEKy8w-Scene-0036/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/--VcKVVLdQA-Scene-0030.mp4,"The video shows a person wearing black gloves pouring a powdery substance into a metal bowl. The person then uses a spoon to mix the substance with a liquid that is already in the bowl. The substance appears to be a thick, brown mixture. The person mixes the substance thoroughly, ensuring that it is well combined.",T2V_data/label/part_2/--VcKVVLdQA-Scene-0030/depth.mp4,T2V_data/label/part_2/--VcKVVLdQA-Scene-0030/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-1hi41VsFiQ-Scene-0014.mp4,"The video shows a person driving a car with a manual transmission. The driver's hand is visible on the steering wheel, and the dashboard is visible in the background. The driver is shifting gears, and the speedometer is visible, indicating the car's speed. The driver's hand is shown in various positions on the steering wheel, and the car's speed changes as the gears are shifted.",T2V_data/label/part_2/-1hi41VsFiQ-Scene-0014/depth.mp4,T2V_data/label/part_2/-1hi41VsFiQ-Scene-0014/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-206DiYtFlE-Scene-0154.mp4,"The video shows a person holding a fish in their hand. The fish is green in color and has a yellow tail. The person is holding the fish over a white surface, which appears to be a boat. The fish is struggling to get away, but the person is holding it firmly. There is a white rope tied around the surface where the person is holding the fish. The background is blurred, but it seems to be a body of water.",T2V_data/label/part_2/-206DiYtFlE-Scene-0154/depth.mp4,T2V_data/label/part_2/-206DiYtFlE-Scene-0154/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-2W4V1-F_og-Scene-0033.mp4,"In the video, a person is seen using a pair of scissors to cut a piece of paper. The scissors are black and white in color and are held in the person's right hand. The paper being cut is white and has a grid pattern on it. The person's left hand is holding the paper steady while the right hand uses the scissors to cut along the grid lines. The background is a black and white checkered surface.",T2V_data/label/part_2/-2W4V1-F_og-Scene-0033/depth.mp4,T2V_data/label/part_2/-2W4V1-F_og-Scene-0033/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-2d93sD7uQE-Scene-0015.mp4,"The video shows a small brown dog with a red collar playing with a stuffed animal. The dog is seen biting and pulling on the stuffed animal, which is lying on the floor. The dog appears to be having fun and is quite playful. The stuffed animal is a light brown color and has a cute face. The dog's fur is short and smooth, and it has a happy expression on its face. The background is a simple room with a blue carpet.",T2V_data/label/part_2/-2d93sD7uQE-Scene-0015/depth.mp4,T2V_data/label/part_2/-2d93sD7uQE-Scene-0015/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-32GathUBrw-Scene-0087.mp4,"In the video, two people are seen riding a four-wheeler on a snowy surface. The four-wheeler is black and white with orange wheels. The person in the front is wearing a brown jacket, while the person in the back is wearing a black jacket. They are both wearing black hats. The person in the front is driving the four-wheeler, while the person in the back is holding on to the driver. They are making circles in the snow with the four-wheeler. In the background, there is a red car parked on the side of the road. The video captures the thrill of riding a four-wheeler in the snow and the excitement of creating patterns in the snow with the vehicle.",T2V_data/label/part_2/-32GathUBrw-Scene-0087/depth.mp4,T2V_data/label/part_2/-32GathUBrw-Scene-0087/aug_entity_60.png
T2V_data/VIDGEN-1M_unzip/-3jCwDFXHVY-Scene-0063.mp4,"The video shows a person holding a red balloon with a red string attached to it. The balloon is being held over a pool of water, and the person is seen popping the balloon by pressing it against the water. The balloon bursts, and the water splashes around. The person then picks up another balloon and repeats the process. The balloons are all red, and the water is clear. The person's hand is visible as they hold the balloons.",T2V_data/label/part_2/-3jCwDFXHVY-Scene-0063/depth.mp4,T2V_data/label/part_2/-3jCwDFXHVY-Scene-0063/aug_entity_40.png
