video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/--vyPGV5MBw-Scene-0085.mp4,"The video shows two young boys sitting at a table with plates of cake in front of them. The boys are wearing green shirts and are eating the cake with their hands. They are also playing with the cake, throwing it at each other and making a mess on the table. The boys seem to be having a lot of fun and are laughing as they eat and play. The table is wooden and there are two glasses of milk on the table. The room has wooden walls and there are pictures hanging on the wall.",T2V_data/label/part_4/--vyPGV5MBw-Scene-0085/depth.mp4,T2V_data/label/part_4/--vyPGV5MBw-Scene-0085/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/--vyPGV5MBw-Scene-0085.mp4,"The video shows two young boys sitting at a table with plates of cake in front of them. The boys are wearing green shirts and are eating the cake with their hands. They are also playing with the cake, throwing it at each other and making a mess on the table. The boys seem to be having a lot of fun and are laughing as they eat and play. The table is wooden and there are two glasses of milk on the table. The room has wooden walls and there are pictures hanging on the wall.",T2V_data/label/part_4/--vyPGV5MBw-Scene-0085/entity_20.mp4,T2V_data/label/part_4/--vyPGV5MBw-Scene-0085/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-0if91QZv4A-Scene-0014.mp4,"The video shows a close-up of a person's hand adjusting the tension on a bicycle's shock absorber. The hand is wearing a gold ring, and the shock absorber is attached to a black bicycle frame with the word ""MILLE"" visible. The person is using a tool to turn the shock absorber's adjustment knob, which is black with a red and white label. The video is shot in a well-lit room with a white background.",T2V_data/label/part_4/-0if91QZv4A-Scene-0014/depth.mp4,T2V_data/label/part_4/-0if91QZv4A-Scene-0014/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-0if91QZv4A-Scene-0014.mp4,"The video shows a close-up of a person's hand adjusting the tension on a bicycle's shock absorber. The hand is wearing a gold ring, and the shock absorber is attached to a black bicycle frame with the word ""MILLE"" visible. The person is using a tool to turn the shock absorber's adjustment knob, which is black with a red and white label. The video is shot in a well-lit room with a white background.",T2V_data/label/part_4/-0if91QZv4A-Scene-0014/entity_40.mp4,T2V_data/label/part_4/-0if91QZv4A-Scene-0014/aug_entity_40.png
T2V_data/VIDGEN-1M_unzip/-1nUSwXjG4I-Scene-0013.mp4,"The video features a green tractor with a red attachment on the back, driving through a wooded area. The tractor moves along a dirt path, surrounded by trees and foliage. The tractor appears to be in motion, and the red attachment is likely a plow or mower. The video is shot during the daytime, and the tractor is the main focus of the video.",T2V_data/label/part_4/-1nUSwXjG4I-Scene-0013/depth.mp4,T2V_data/label/part_4/-1nUSwXjG4I-Scene-0013/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-1nUSwXjG4I-Scene-0013.mp4,"The video features a green tractor with a red attachment on the back, driving through a wooded area. The tractor moves along a dirt path, surrounded by trees and foliage. The tractor appears to be in motion, and the red attachment is likely a plow or mower. The video is shot during the daytime, and the tractor is the main focus of the video.",T2V_data/label/part_4/-1nUSwXjG4I-Scene-0013/entity_20.mp4,T2V_data/label/part_4/-1nUSwXjG4I-Scene-0013/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-1rVreaDRYM-Scene-0001.mp4,"In the video, a person is seen fastening a seat belt around a doll. The doll is wearing a white shirt and blue jeans. The person is wearing a black and white striped shirt. The seat belt is black and is being fastened around the doll's waist. The person's hands are visible as they fasten the seat belt. The background is not visible in the video.",T2V_data/label/part_4/-1rVreaDRYM-Scene-0001/depth.mp4,T2V_data/label/part_4/-1rVreaDRYM-Scene-0001/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-1rVreaDRYM-Scene-0001.mp4,"In the video, a person is seen fastening a seat belt around a doll. The doll is wearing a white shirt and blue jeans. The person is wearing a black and white striped shirt. The seat belt is black and is being fastened around the doll's waist. The person's hands are visible as they fasten the seat belt. The background is not visible in the video.",T2V_data/label/part_4/-1rVreaDRYM-Scene-0001/entity_20.mp4,T2V_data/label/part_4/-1rVreaDRYM-Scene-0001/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-2upzQKPnD8-Scene-0050.mp4,"In the video, a person is using a drill to carve a watermelon. The drill is being used to create a hole in the watermelon. The person is wearing a red shirt and glasses. The background is a wooden table with various tools and objects on it. The watermelon is green with black seeds and has a red interior. The person is holding the watermelon with one hand and the drill with the other. The drill is yellow and black in color.",T2V_data/label/part_4/-2upzQKPnD8-Scene-0050/depth.mp4,T2V_data/label/part_4/-2upzQKPnD8-Scene-0050/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-2upzQKPnD8-Scene-0050.mp4,"In the video, a person is using a drill to carve a watermelon. The drill is being used to create a hole in the watermelon. The person is wearing a red shirt and glasses. The background is a wooden table with various tools and objects on it. The watermelon is green with black seeds and has a red interior. The person is holding the watermelon with one hand and the drill with the other. The drill is yellow and black in color.",T2V_data/label/part_4/-2upzQKPnD8-Scene-0050/entity_20.mp4,T2V_data/label/part_4/-2upzQKPnD8-Scene-0050/aug_entity_20.png
T2V_data/VIDGEN-1M_unzip/-4gyzoQAFXA-Scene-0005.mp4,"In this video, a person is seen holding a knife in their hand. The knife has a black handle and a silver blade. The person is demonstrating how to open and close the knife by pulling the blade out and pushing it back in. The background is a green surface with black text on it. The person's hand movements are smooth and precise as they manipulate the knife. The video is shot in close-up, allowing for a clear view of the knife and the person's hand movements.",T2V_data/label/part_4/-4gyzoQAFXA-Scene-0005/depth.mp4,T2V_data/label/part_4/-4gyzoQAFXA-Scene-0005/aug_entity_20.png
