video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/-1oVRfTvWOE-Scene-0072.mp4,The video shows a person riding a bicycle on a dirt trail. The camera focuses on the person's feet and the bike's wheels as they ride along the trail. The person is wearing black shorts and yellow shoes. The bike has black tires and a yellow frame. The trail is surrounded by grass and trees.,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-1oVRfTvWOE-Scene-0072/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-1oVRfTvWOE-Scene-0072/entity_20.png
T2V_data/VIDGEN-1M_unzip/-1oVRfTvWOE-Scene-0072.mp4,The video shows a person riding a bicycle on a dirt trail. The camera focuses on the person's feet and the bike's wheels as they ride along the trail. The person is wearing black shorts and yellow shoes. The bike has black tires and a yellow frame. The trail is surrounded by grass and trees.,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-1oVRfTvWOE-Scene-0072/entity_20.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-1oVRfTvWOE-Scene-0072/entity_20.png
T2V_data/VIDGEN-1M_unzip/-L5B9QHVUTY-Scene-0044.mp4,"The video shows a man in a garage, standing underneath a car. He is wearing a black shirt and has a bald head. The car is lifted up by a yellow jack, and the man is pointing at the underside of the car. He is talking about the car's suspension system, specifically the shocks and springs. The man appears to be knowledgeable about the car's mechanics, as he is explaining the components in detail. The garage is well-lit, and there are various tools and equipment visible in the background. The man's gestures and facial expressions suggest that he is passionate about cars and is likely sharing his expertise with others.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-L5B9QHVUTY-Scene-0044/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-L5B9QHVUTY-Scene-0044/entity_60.png
T2V_data/VIDGEN-1M_unzip/-L5B9QHVUTY-Scene-0044.mp4,"The video shows a man in a garage, standing underneath a car. He is wearing a black shirt and has a bald head. The car is lifted up by a yellow jack, and the man is pointing at the underside of the car. He is talking about the car's suspension system, specifically the shocks and springs. The man appears to be knowledgeable about the car's mechanics, as he is explaining the components in detail. The garage is well-lit, and there are various tools and equipment visible in the background. The man's gestures and facial expressions suggest that he is passionate about cars and is likely sharing his expertise with others.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-L5B9QHVUTY-Scene-0044/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-L5B9QHVUTY-Scene-0044/entity_60.png
T2V_data/VIDGEN-1M_unzip/-_OQRy2LfKc-Scene-0132.mp4,"In the video, we see a person's hand reaching for a cardboard box that is sitting on a table. The box has a yellow and black caution tape attached to it, indicating that it is heavy. The person then proceeds to open the box, revealing its contents.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-_OQRy2LfKc-Scene-0132/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-_OQRy2LfKc-Scene-0132/entity_40.png
T2V_data/VIDGEN-1M_unzip/-_OQRy2LfKc-Scene-0132.mp4,"In the video, we see a person's hand reaching for a cardboard box that is sitting on a table. The box has a yellow and black caution tape attached to it, indicating that it is heavy. The person then proceeds to open the box, revealing its contents.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-_OQRy2LfKc-Scene-0132/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/-_OQRy2LfKc-Scene-0132/entity_40.png
T2V_data/VIDGEN-1M_unzip/0MzAo0vX3zI-Scene-0018.mp4,"The video shows a person's hands using scissors to trim a patch of green moss. The moss is located in a small pot, and the person is carefully cutting the excess growth to maintain its shape. The scissors are silver and appear to be sharp, as they cut through the moss with ease. The person's hands are steady, and they seem to have experience with trimming plants. The background is blurred, but it appears to be a garden or outdoor setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/entity_40.png
T2V_data/VIDGEN-1M_unzip/0MzAo0vX3zI-Scene-0018.mp4,"The video shows a person's hands using scissors to trim a patch of green moss. The moss is located in a small pot, and the person is carefully cutting the excess growth to maintain its shape. The scissors are silver and appear to be sharp, as they cut through the moss with ease. The person's hands are steady, and they seem to have experience with trimming plants. The background is blurred, but it appears to be a garden or outdoor setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/entity_40.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/entity_40.png
T2V_data/VIDGEN-1M_unzip/0MzAo0vX3zI-Scene-0018.mp4,"The video shows a person's hands using scissors to trim a patch of green moss. The moss is located in a small pot, and the person is carefully cutting the excess growth to maintain its shape. The scissors are silver and appear to be sharp, as they cut through the moss with ease. The person's hands are steady, and they seem to have experience with trimming plants. The background is blurred, but it appears to be a garden or outdoor setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/depth.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/entity_60.png
T2V_data/VIDGEN-1M_unzip/0MzAo0vX3zI-Scene-0018.mp4,"The video shows a person's hands using scissors to trim a patch of green moss. The moss is located in a small pot, and the person is carefully cutting the excess growth to maintain its shape. The scissors are silver and appear to be sharp, as they cut through the moss with ease. The person's hands are steady, and they seem to have experience with trimming plants. The background is blurred, but it appears to be a garden or outdoor setting.",T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/entity_60.mp4,T2V_data/label/vidgen_filter_gemini_part_0_dpo_14/0MzAo0vX3zI-Scene-0018/entity_60.png
