video,prompt,vace_video,vace_reference_image
T2V_data/VIDGEN-1M_unzip/--106WvnIhc-Scene-0149.mp4,The video shows a man in a swimming pool. He is wearing a grey t-shirt and black shorts. The man is lying on a red and white inflatable surfboard. He is holding onto the surfboard with his hands and kicking his legs to move forward. The water in the pool is blue and there is a white wall in the background.,T2V_data/label/part_7/--106WvnIhc-Scene-0149/depth.mp4,T2V_data/label/part_7/--106WvnIhc-Scene-0149/entity_20.png
T2V_data/VIDGEN-1M_unzip/--106WvnIhc-Scene-0149.mp4,The video shows a man in a swimming pool. He is wearing a grey t-shirt and black shorts. The man is lying on a red and white inflatable surfboard. He is holding onto the surfboard with his hands and kicking his legs to move forward. The water in the pool is blue and there is a white wall in the background.,T2V_data/label/part_7/--106WvnIhc-Scene-0149/entity_20.mp4,T2V_data/label/part_7/--106WvnIhc-Scene-0149/entity_20.png
T2V_data/VIDGEN-1M_unzip/-0ij_yxW62A-Scene-0065.mp4,"In the video, a man is seen lying on his stomach under a car, working on the underside of the vehicle. He is wearing a black shirt and glasses, and is using a wrench to work on the car's exhaust pipe. The man appears to be focused on his task, and is using the wrench with precision. The car is elevated off the ground, likely by a jack, to allow the man to access the underside of the vehicle. The background is not clearly visible, but it appears to be a garage or a similar setting.",T2V_data/label/part_7/-0ij_yxW62A-Scene-0065/depth.mp4,T2V_data/label/part_7/-0ij_yxW62A-Scene-0065/entity_20.png
T2V_data/VIDGEN-1M_unzip/-0ij_yxW62A-Scene-0065.mp4,"In the video, a man is seen lying on his stomach under a car, working on the underside of the vehicle. He is wearing a black shirt and glasses, and is using a wrench to work on the car's exhaust pipe. The man appears to be focused on his task, and is using the wrench with precision. The car is elevated off the ground, likely by a jack, to allow the man to access the underside of the vehicle. The background is not clearly visible, but it appears to be a garage or a similar setting.",T2V_data/label/part_7/-0ij_yxW62A-Scene-0065/entity_20.mp4,T2V_data/label/part_7/-0ij_yxW62A-Scene-0065/entity_20.png
T2V_data/VIDGEN-1M_unzip/-0mgnqMR0KY-Scene-0008.mp4,"In the video, a person is seen holding a rectangular block of wax over a container filled with a purple liquid. The person is using a tool to scrape the wax block, causing the purple liquid to drip down into the container. The person continues to scrape the wax block, and the liquid continues to drip down. The person's hands are visible, but their face is not shown. The background is a workshop setting with various tools and containers.",T2V_data/label/part_7/-0mgnqMR0KY-Scene-0008/depth.mp4,T2V_data/label/part_7/-0mgnqMR0KY-Scene-0008/entity_40.png
T2V_data/VIDGEN-1M_unzip/-0mgnqMR0KY-Scene-0008.mp4,"In the video, a person is seen holding a rectangular block of wax over a container filled with a purple liquid. The person is using a tool to scrape the wax block, causing the purple liquid to drip down into the container. The person continues to scrape the wax block, and the liquid continues to drip down. The person's hands are visible, but their face is not shown. The background is a workshop setting with various tools and containers.",T2V_data/label/part_7/-0mgnqMR0KY-Scene-0008/entity_40.mp4,T2V_data/label/part_7/-0mgnqMR0KY-Scene-0008/entity_40.png
T2V_data/VIDGEN-1M_unzip/-1QWYWVtF-Y-Scene-0104.mp4,"The video shows a close-up of a yellow glue gun with a black tip, applying glue to the edge of a piece of cardboard. The cardboard has a purple pattern on its edge. The background is white.",T2V_data/label/part_7/-1QWYWVtF-Y-Scene-0104/depth.mp4,T2V_data/label/part_7/-1QWYWVtF-Y-Scene-0104/entity_60.png
T2V_data/VIDGEN-1M_unzip/-1QWYWVtF-Y-Scene-0104.mp4,"The video shows a close-up of a yellow glue gun with a black tip, applying glue to the edge of a piece of cardboard. The cardboard has a purple pattern on its edge. The background is white.",T2V_data/label/part_7/-1QWYWVtF-Y-Scene-0104/entity_60.mp4,T2V_data/label/part_7/-1QWYWVtF-Y-Scene-0104/entity_60.png
T2V_data/VIDGEN-1M_unzip/-1RQApSvydg-Scene-0011.mp4,The video shows a man working on a piece of metal using a hammer and a vice. He is seen hammering a piece of metal with a hammer and then using a tool to shape it. The man is wearing a blue shirt and is standing in front of a workbench with various tools and objects scattered around. The video is shot in a workshop setting and the man appears to be focused on his work.,T2V_data/label/part_7/-1RQApSvydg-Scene-0011/depth.mp4,T2V_data/label/part_7/-1RQApSvydg-Scene-0011/entity_20.png
T2V_data/VIDGEN-1M_unzip/-1RQApSvydg-Scene-0011.mp4,The video shows a man working on a piece of metal using a hammer and a vice. He is seen hammering a piece of metal with a hammer and then using a tool to shape it. The man is wearing a blue shirt and is standing in front of a workbench with various tools and objects scattered around. The video is shot in a workshop setting and the man appears to be focused on his work.,T2V_data/label/part_7/-1RQApSvydg-Scene-0011/entity_20.mp4,T2V_data/label/part_7/-1RQApSvydg-Scene-0011/entity_20.png
